"[ 0.45303468  0.92149668  0.35834107  0.17701821  0.11555491  0.2469603
  1.         -0.54273651 -0.39465826]","[-0.76836422  0.06732246 -0.63425763 -0.5194208  -0.01652868 -0.75359877
 -1.         -0.8405807  -0.06687873]","[-8.60204266e-01  4.51416777e-01  1.00000000e+00 -9.08810434e-01
  9.78274470e-01  1.42858325e-01 -5.03901416e-01  6.51946681e-04
  4.29433422e-01]","[ 0.80272228 -0.76817848  0.28437866  0.01968006 -0.65311309  0.10717555
 -0.44911685 -0.16219962 -0.14128614]","[ 0.7737088  -0.23920681 -0.03940911 -0.9895056  -0.42592735  0.39243893
 -0.18761517  0.49723911  0.54346979]","[-0.635532    0.47324251  0.21271049 -0.62001329  0.73086534 -0.29215213
 -0.31960895  0.26613834 -0.74754869]"
"[ 1.         -0.30596314 -0.20310334 -0.847019    0.17947779 -0.10285942
  0.08026193  0.35706168  0.19113441]","[-0.82278645 -0.70079809 -0.28109871 -0.64187522  0.5545369   0.35611884
 -0.98141012 -0.00491785 -0.78869558]","[ 0.18381384  1.          0.14468298  0.9170035  -1.         -0.11839879
 -0.87472992 -0.30741125 -0.60871958]","[ 0.86133744 -0.25464474  0.47799837  0.05348239  0.87013428  0.29423652
  0.68416508  0.93382599  0.30224911]","[ 0.56291423  1.         -0.34807424 -1.         -0.96665858 -0.27411408
  0.68520335 -0.89300645 -0.37232403]","[ 0.94645614 -0.64715317  0.44844192 -0.17914839  0.10221849  0.21786007
 -0.58086352  0.39559936 -0.57657639]"
"[ 0.42599738 -0.85294948 -0.71893577 -0.77830014  0.1181211  -0.50741601
 -0.70661171 -0.92676614 -0.97004686]","[ 0.32799521  0.46454723 -0.55950429  0.1918859   0.13570254  0.85635004
  0.3205574   0.16981874 -0.57950908]","[-5.21494602e-01  4.70640622e-01  7.18907834e-04 -5.23782950e-01
  1.00000000e+00  5.01427973e-01  5.81714275e-01 -9.39928853e-02
 -3.12366205e-01]","[ 0.4264771   0.86440492 -0.757515    0.1157509  -0.85623823 -1.
  0.56101291  0.24392959  0.39208956]","[-0.78380689  0.14022342  0.1712409  -0.07703432  0.78386098  0.09276057
 -0.21942204  0.08597229  0.68621797]","[ 0.3956986  -0.50698519  0.70723948  0.64250295 -0.98592897 -0.51143202
  0.88183008 -0.32563648 -0.96651659]"
"[ 0.72548312 -1.         -0.3928283   0.35622553  0.26658523  0.82916141
 -0.59312898 -0.24274758  0.56875146]","[-0.24113733  0.99234636 -0.24958392 -0.83521614 -1.          0.2188836
 -0.83406044  0.55574816  0.29227812]","[-0.23311495  0.66513486  0.6361439   0.48384848  0.51404588 -0.69202412
  0.58266268  0.94865961  0.21594529]","[-0.74606025 -0.27691273 -0.80929275  0.23275116 -0.27024533 -0.63192406
  0.66972719 -0.64124962  0.33502269]","[ 0.03620689 -0.07646052  0.2036798  -0.05539603  0.35646759  0.07981001
 -0.70388663  0.96967443  0.13058282]","[-0.39165961 -0.88232139 -0.34091703 -0.95161528 -0.83164375  0.19339155
  0.90996613  0.15127312  0.61920113]"
"[ 0.437047   -0.42819729  0.25379856 -0.05515006 -0.03738177 -0.01411248
  0.7060455   0.26734566  0.12432007]","[-0.19002932  0.46829581 -0.46833224 -1.          0.14978879 -0.62318723
 -0.59446663  0.80238295  0.21158463]","[-1.          0.04074358 -0.15364421  0.54990205  0.89939198  0.88209382
  0.34701276  0.17284451  0.73512177]","[-0.01639265 -0.06040729  0.93641991 -0.00216069  0.09837607  0.83410796
 -0.88264542 -0.05197676 -0.46005332]","[-0.18058317  0.64161399  0.36039187  0.280249   -1.         -0.27462525
  0.34904546  0.42273756 -0.34225591]","[ 0.12793614  0.25990347  0.68236634  0.60367978  0.5950943  -0.07418126
  0.95688929 -0.90681328 -0.15336408]"
"[-0.9369286   0.05750048 -0.11076864 -0.13253258  1.          0.16875575
  0.46667798  0.0243816  -0.67493974]","[ 5.63403393e-03  5.62226686e-01 -7.85937566e-01 -4.30745805e-01
 -5.88927272e-04 -6.56685888e-01 -2.83075517e-01  9.79629981e-01
  9.23957848e-01]","[ 0.51169435  0.81384187  0.00839296 -0.8735358   1.         -0.349501
  0.6472132   0.57270569  0.13473595]","[-0.08402145 -0.24211676  0.79663149  0.03221873  0.92530779  0.1130634
 -0.94587772 -0.72511131 -0.10075584]","[-0.38281562 -0.88755296 -0.86635928  0.03767104  0.31524355 -0.15119183
  0.73318277  0.17478795  0.93620427]","[-0.19542227  0.10777572 -0.37265572 -0.99844633 -0.59706964 -0.36921985
 -0.7433657   0.31094416 -0.00696156]"
"[-1.         -0.57534835 -0.54916336 -0.11761447  0.32929619  0.26782633
  0.59164999 -0.01144211 -0.7570252 ]","[ 0.4732899   0.31772627 -0.29154081 -1.          0.01925475 -0.63093592
  0.57951336  1.         -0.95164373]","[ 0.69298209 -0.61854913  0.60751834  0.42486194 -0.79980012 -0.13645184
 -0.12155008 -0.58813263 -0.81311889]","[-0.07986201  0.9483915   0.65921596  0.10351489  0.14864327  0.55299809
 -0.97261896  0.42836286  0.00490883]","[-0.02222084  0.4610152  -0.27598122  0.20649367 -0.31209724 -0.28693582
 -0.92066728  0.53222735  0.779201  ]","[-0.10003086 -0.33292401 -0.79893115  0.59669758 -0.74764613 -0.65025952
  0.02320495 -0.32485502 -0.13134293]"
"[ 0.39620311  1.         -1.         -0.70755318 -0.17662326 -0.62809069
 -0.10226225 -0.12660093 -0.83708536]","[-0.36126549 -0.00508678  0.20762952  0.63536581  0.84605937 -0.52772127
  0.78389423  0.63148492 -0.31695722]","[-0.04067589  0.65618679 -0.21392799 -0.9243722  -0.17662511  0.43080559
 -0.28661248 -0.07062019  0.36333365]","[-1.         -0.32824269  0.60498871  0.92315586 -1.          0.37268533
 -0.97543453  0.70977841 -0.76221931]","[ 0.19184001 -0.62350696  0.3889357  -0.58849303  0.00173407 -0.09744982
 -0.19069096  0.00324416 -0.19331319]","[ 0.23924134 -0.57954861  0.80334449  0.59301728 -0.37329319  0.13126576
  0.0685783  -0.47526047 -0.17647337]"
"[-0.12128577 -0.41456569 -0.02075798  0.5311894  -0.14277216 -0.85906958
 -0.26919807  0.54404064  0.10228397]","[ 0.86634607  0.50395538  0.48322297 -0.62151244 -0.54719263  0.18986522
  0.90307482 -0.01313442  0.90529698]","[-0.15019447  0.13043609 -0.5757114  -0.90093465  1.         -0.59746098
  0.4694607   0.50187131 -0.3446824 ]","[-0.82299158  0.65840392  1.          0.86070448 -0.36465273  0.55003322
 -0.50543201 -0.20430635 -0.31597844]","[ 0.11430655 -0.08468123 -0.45968104 -0.32161378  0.82572313  0.69195896
 -0.08500281  0.88117375  0.41746052]","[-0.33005177  0.38712165 -0.62909021  0.5745598  -0.23137777  0.34615486
 -0.47936595 -0.56413455  0.63317669]"
"[-0.76224371  0.41814768  0.60231701  0.71233814  0.53162412 -0.83371964
 -0.03745842  0.44919454 -0.51223794]","[ 0.71437152 -0.3068206  -0.42475568 -0.39595314 -0.9387866   0.25365529
  0.29668332  0.04908116  0.48177153]","[-0.66623218  0.52248292  0.91746221  0.90230569  0.78865966 -0.65012588
  0.84336853 -0.933784   -0.30364241]","[ 0.54668731 -0.79058986  1.         -0.8086946  -0.30352449  0.62361282
 -0.03133708  0.02683313 -0.26481324]","[-0.39365977 -0.0116745   0.15406338 -0.18842907 -0.23967806  0.16189445
 -0.12052236 -0.51700756 -0.51467473]","[ 0.54857601 -0.23945567 -0.93202152 -0.03713786  0.99095362  0.93180752
  0.56775367 -0.05493073 -0.55841808]"
