fitness,age,seed,gen,uuid
0,0,10909,0,3ff9cec9-76fe-461e-b479-31a3e39b698f
0,0,10909,0,09a814d7-1879-4c48-948d-ff43aeef5dee
0,0,10909,0,359ac96a-84cd-4850-9fe8-a2f3875fed28
0,0,10909,0,a06c60b7-99a3-40e9-b73d-e403cbef3799
0,0,10909,0,4293d3dc-da5b-49fb-aa5c-aa2c994b128b
0,0,10909,0,003928c4-9e0c-4414-b691-8117f73feaea
0,0,10909,0,275e9bd4-cbe4-473f-ade0-1fb96464f011
0,0,10909,0,31530bee-c84a-4e5e-bbc1-55ce16a90175
0,0,10909,0,0e921f8f-9ec4-4ca2-be7d-5bfc63b46b3d
0,0,10909,0,6029bd8d-9042-4a62-ab73-dffbc2694c11
0,0,10909,0,8a2cc531-51bb-4655-831c-d26df047c5ba
0,0,10909,0,b896aa36-c9c8-4e3d-8b12-0040fb9a61ea
0,0,10909,0,0c1a440e-e352-4e34-b323-1fee3c2be8d1
0,0,10909,0,bc5540ee-414f-49d3-bf15-0fe228aa53e0
0,0,10909,0,89c32e0f-695a-4205-91fe-cb0b2a9eec6d
0,0,10909,0,d4225385-39b8-4024-8e3c-7009a8d1f6b9
0,0,10909,0,5e0c048e-d0e7-42d7-a51b-09b89ae87e26
0,0,10909,0,ea08f8fc-7fbd-4e99-88d4-e25cc262842e
0,0,10909,0,117133d9-f5b8-4715-8325-76d2fe81a32b
0,0,10909,0,9f00c63b-e32e-4e03-9215-93f763368d25
0,0,10909,0,3c171a32-9ac0-4142-8d21-5ec84b08d7c0
0,0,10909,0,dd524ff7-9c94-4338-9232-3a2f9fa2fe84
0,0,10909,0,8488aacc-6f60-4377-8028-fd46b342f1fa
0,0,10909,0,c0fe03cc-058e-4e4d-ab69-a7e1ede8694e
0,0,10909,0,13c58582-1b1f-4309-a732-3dca97679d68
0,0,10909,0,da3e5354-b730-4b2b-9daf-33905e2288bb
0,0,10909,0,605f95ff-fdef-44e7-94c9-60a376af784a
0,0,10909,0,cf66459f-dca9-4bc3-87b6-937d7754c3e3
0,0,10909,0,cac60bf4-dce4-43ff-a02f-16d899a6df40
0,0,10909,0,3fbe1fea-fa9e-414f-8c5e-a33a33b7e0a4
0.3616878212416733,1,10910,0,275e9bd4-cbe4-473f-ade0-1fb96464f011
0.27533491927851017,1,10910,0,0e921f8f-9ec4-4ca2-be7d-5bfc63b46b3d
0.39849490034819474,1,10910,0,b896aa36-c9c8-4e3d-8b12-0040fb9a61ea
0.5085696499049933,1,10910,0,bc5540ee-414f-49d3-bf15-0fe228aa53e0
0.4467985198974081,1,10910,0,89c32e0f-695a-4205-91fe-cb0b2a9eec6d
