fitness,age,seed,gen,uuid
0,0,808,0,489c725c-bae0-42b6-9383-2a25f29d7f6d
0,0,808,0,1e169089-4986-4847-b437-a31b0fc57ac3
0,0,808,0,196d34d7-ffa3-4e91-912d-90324155a269
0,0,808,0,0a3a1378-1ad7-45f9-b449-c1f856908cec
0,0,808,0,992e8aab-3132-465c-910e-0313ac2fb28a
0,0,808,0,1dcfc002-261d-4f2c-828c-30af998d79b0
0,0,808,0,1d17ab73-fba0-4a65-95e8-a825fec80b7b
0,0,808,0,354afb99-5cf7-4ef9-8df9-d4f0ebd9c016
0,0,808,0,5b76de46-cda8-409e-b869-62a72efa8d0e
0,0,808,0,d8c8f32a-b029-41e8-804a-63bbc78684e6
0,0,808,0,fdf5865a-ce8d-4c52-aefe-42d986768781
0,0,808,0,6dcd75ae-479a-41bd-9916-efd091e0603e
0,0,808,0,384e7faf-1184-4efa-a846-3c4ec4b5757a
0,0,808,0,a4d6e75b-a7eb-4e7e-beaa-e3537827f16d
0,0,808,0,00b53d0d-9fe5-4881-9ebf-75374499e65c
0,0,808,0,6ac3b485-5ab6-4443-9554-a712e3f0902d
0,0,808,0,9452da1c-ff79-4455-a0fd-ba75551ad0fb
0,0,808,0,4d2b9797-00eb-4856-960f-41fdac0a36c4
0,0,808,0,e852f131-8a7e-45c9-bf9e-51f683b9e95b
0,0,808,0,d535dd91-5fa1-4af9-8667-563d93b6c266
0,0,808,0,69e8fe09-8747-45e8-a6b9-9366c9f2c037
0,0,808,0,ead9cdde-3b41-4969-a6a4-0fde736beb4f
0,0,808,0,e16bc2f1-84fd-4b03-a5e1-d506aeb9450b
0,0,808,0,55ccda8f-bcef-4116-9f72-8e57aacc49d5
0,0,808,0,ada2257c-fa02-43f9-b9b7-f74c714fb031
0,0,808,0,6a87f4bc-d11d-4d79-9a2e-4e55339c2d19
0,0,808,0,37e05ee6-984f-4d5d-8af0-64a756f5c27b
0,0,808,0,d3dd7317-7fbc-4969-974a-ba2e410991f4
0,0,808,0,c89ffafa-5fb2-4c95-a4f3-a0157a5f5dde
0,0,808,0,b0b8c1dc-675f-4a76-9062-34ec4ff564a8
0.41871828837541797,1,809,0,489c725c-bae0-42b6-9383-2a25f29d7f6d
0.13478745924907062,1,809,0,196d34d7-ffa3-4e91-912d-90324155a269
0.39098808648085764,1,809,0,0a3a1378-1ad7-45f9-b449-c1f856908cec
0.356955310522653,1,809,0,1dcfc002-261d-4f2c-828c-30af998d79b0
0.22760081334585125,1,809,0,1d17ab73-fba0-4a65-95e8-a825fec80b7b
0.517761846717563,1,809,0,354afb99-5cf7-4ef9-8df9-d4f0ebd9c016
0.6438928800141471,1,809,0,d8c8f32a-b029-41e8-804a-63bbc78684e6
0.4117787283688795,1,809,0,fdf5865a-ce8d-4c52-aefe-42d986768781
0.0634558725465697,1,809,0,384e7faf-1184-4efa-a846-3c4ec4b5757a
0.549217816685392,1,809,0,a4d6e75b-a7eb-4e7e-beaa-e3537827f16d
0.18211874242754178,1,809,0,9452da1c-ff79-4455-a0fd-ba75551ad0fb
0.3431444527973081,1,809,0,69e8fe09-8747-45e8-a6b9-9366c9f2c037
